ID,Category,Text,Detected Language,Expected Sentiment,Predicted Sentiment,Expected Sarcasm,Predicted Sarcasm,Expected Toxicity,Predicted Toxicity,Toxicity Score,Expected AI Signal,Predicted AI Signal,Model Prediction,Correct?
176,Toxic/Insults,"What a loser, you can't do anything right.",English,Negative,Neutral,No,Yes,High,High,5,Red,Red,Neutral / Sarcastic / High toxicity -> Red,Yes
177,Threats/Violence,I will kill a man for sure.,English,Negative,Neutral,No,No,High,High,4,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
178,Threats/Violence,I'm going to find you and hurt you badly.,English,Negative,Neutral,No,No,High,High,4,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
179,Threats/Violence,"Watch your back, I'll make you pay for this.",English,Negative,Neutral,No,No,High,High,4,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
180,Threats/Violence,I will burn your house down if you do that again.,English,Negative,Neutral,No,No,High,High,5,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
181,Threats/Violence,"You better run, because I'm coming for you.",English,Negative,Neutral,No,No,High,Medium,3,Red,Yellow,Neutral / Non-Sarcastic / Medium toxicity -> Yellow,No
182,Threats/Violence,I'll break every bone in your body.,English,Negative,Neutral,No,No,High,High,4,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
183,Threats/Violence,Say that again and I will end you.,English,Negative,Neutral,No,No,High,High,4,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
184,Threats/Violence,I swear I will make your life a living hell.,English,Negative,Neutral,No,No,High,High,5,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
185,Threats/Violence,Touch my stuff again and you'll regret it forever.,English,Negative,Neutral,No,No,High,Medium,3,Red,Yellow,Neutral / Non-Sarcastic / Medium toxicity -> Yellow,No
186,Threats/Violence,"I'm going to hunt you down, mark my words.",English,Negative,Neutral,No,No,High,High,4,Red,Red,Neutral / Non-Sarcastic / High toxicity -> Red,Yes
187,Sarcastic/Ambiguous,"Oh great, another Monday, just what I needed.",English,Negative,Neutral,Yes,Yes,Low,Low,1,Yellow,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,Yes
188,Sarcastic/Ambiguous,"Wow, thanks for absolutely nothing.",English,Negative,Neutral,Yes,Yes,Low,Low,1,Yellow,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,Yes
189,Sarcastic/Ambiguous,"Yeah right, like that's ever going to happen.",English,Negative,Neutral,Yes,Yes,Low,Low,1,Yellow,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,Yes
190,Sarcastic/Ambiguous,"Sure, because that plan worked out so well last time.",English,Negative,Neutral,Yes,Yes,Low,Low,1,Yellow,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,Yes
191,Sarcastic/Ambiguous,"Oh fantastic, the printer is broken again. Love that.",English,Negative,Neutral,Yes,Yes,Low,Low,1,Yellow,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,Yes
192,Sarcastic/Ambiguous,Nice job breaking the build right before the demo.,English,Negative,Neutral,Yes,Yes,Medium,Low,1,Yellow,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,Yes
193,Sarcastic/Ambiguous,I just love waiting an hour for a five minute meeting.,English,Negative,Neutral,Yes,Yes,Low,Low,1,Yellow,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,Yes
194,Sarcastic/Ambiguous,"Oh sure, blame me for your mistake, that makes sense.",English,Negative,Neutral,Yes,Yes,Low,Low,1,Yellow,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,Yes
195,Sarcastic/Ambiguous,"Great, you 'fixed' it and now nothing works. Well done.",English,Negative,Neutral,Yes,Yes,Medium,Low,1,Yellow,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,Yes
196,Sarcastic/Ambiguous,"Perfect, another delay. Exactly what this project needed.",English,Negative,Neutral,Yes,Yes,Low,Low,1,Yellow,Yellow,Neutral / Sarcastic / Low toxicity -> Yellow,Yes
